id,jel,date_modified_dtsi,date_modified_ssi,link,title_tesim,alpha_creator_tesim
9c67wm944,D64,,Wed Oct 23 17:49:32 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/9c67wm944,"Risk Sharing\, Inequality\, and Fertility","Hosseini\, Roozbeh,Jones\, Larry E.,Shourideh\, Ali"

id,jel,date_modified_dtsi,date_modified_ssi,link,title_tesim,alpha_creator_tesim
70795775k,E12,2020-04-06T19:42:52Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/70795775k,Business Cycle Accounting,"Chari\, V. V.,Kehoe\, Patrick J.,McGrattan\, Ellen R."
4j03cz701,E12,,Wed Oct 23 17:52:50 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/4j03cz701,Business Cycle Accounting,"Chari\, V. V.,Kehoe\, Patrick J.,McGrattan\, Ellen R."
jm214p12r,E12,2020-02-07T18:10:16Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/jm214p12r,"Capacity Utilization\, Inflation\, and Aggregate Demand Policy","Bryant\, John B.,Supel\, Thomas M."
ms35t8663,E12,,Wed Apr 22 16:39:08 2020,https://researchdatabasestaging.minneapolisfed.org/concern/publications/ms35t8663,Keynesian Conundrum: Multiplicity and Time Consistent Stabilization,"Dupor\, Bill"
q524jn774,E12,2019-07-09T15:27:12Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/q524jn774,Banking Panics and Depression: A Monetarist-Keynesian Synthesis,"Bryant\, John B."
wp988j884,E12,,Thu Nov  7 21:16:35 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/wp988j884,Wealth and Volatility,"Heathcote\, Jonathan,Perri\, Fabrizio"
rn301138p,E12,2020-04-29T20:20:41Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/rn301138p,"Economic Fluctuations Without Shocks to Fundamentals; Or\, Does the Stock Market Dance to its Own Music?","Aiyagari\, S. Rao"
zg64tk96k,E12,2020-04-29T18:56:08Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/zg64tk96k,"Economic Fluctuations Without Shocks to Fundamentals; or\, Does the Stock Market Dance to its Own Music?","Aiyagari\, S. Rao"
zp38wc79p,E12,2023-03-10T16:12:09Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/zp38wc79p,A Theory of Non-Coasean Labor Markets,"Blanco\, Andrés,Drenik\, Andrés,Moser\, Christian A.,Zaratiegui\, Emilio"
8w32r5684,E12,2020-09-11T17:24:49Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/8w32r5684,New Keynesian Models: Not Yet Useful for Policy Analysis,"Chari\, V. V.,Kehoe\, Patrick J.,McGrattan\, Ellen R."
c821gj78w,E12,2019-07-15T13:53:55Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/c821gj78w,Notes on the Investment Schedule,"Sargent\, Thomas J."
g445cd164,E12,2021-02-05T17:17:31Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/g445cd164,Taxation and the Taylor Principle,"Edge\, Rochelle Mary\, 1971-,Rudd\, Jeremy Bay\, 1970-"
dz010q06g,E12,2019-07-11T19:45:28Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/dz010q06g,A Model of the Phillips Curve Based on Adverse Selection,"Smith\, Bruce D. (Bruce David)\, 1954-2002"
8c97kq41f,E12,2020-04-02T16:24:32Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/8c97kq41f,A Simple General Equilibrium Model of the Great Depression,"Bryant\, John B."
02870v92t,E12,,Wed Oct 23 17:50:05 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/02870v92t,Temporary Price Changes and the Real Effects of Monetary Policy,"Kehoe\, Patrick J.,Midrigan\, Virgiliu"
9c67wm83m,E12,2020-05-05T19:48:56Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/9c67wm83m,"A Model of ""Keynesian"" Unemployment Resulting from Adverse Selection","Smith\, Bruce D. (Bruce David)\, 1954-2002"
v979v331c,E12,2021-06-29T19:52:27Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/v979v331c,"Doves for the Rich\, Hawks for the Poor? Distributional Consequences of Systematic Monetary Policy","Gornemann\, Nils,Kuester\, Keith,Nakajima\, Makoto (Economist)"
4f16c291q,E12,,Thu Nov  7 21:35:23 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/4f16c291q,The Heterogeneous State of Modern Macroeconomics: A Reply to Solow,"Chari\, V. V.,Kehoe\, Patrick J."

id,jel,date_modified_dtsi,date_modified_ssi,link,title_tesim,alpha_creator_tesim
6w924b86j,E62,,Wed Apr 22 16:40:43 2020,https://researchdatabasestaging.minneapolisfed.org/concern/publications/6w924b86j,"Fiscal Spending Shocks\, Endogenous Government Spending\, and Real Business Cycles","Ambler\, Steve\, 1955-,Paquet\, Alain\, 1961-"
8g84mm27v,E62,2019-07-09T14:42:22Z,,https://researchdatabasestaging.minneapolisfed.org/concern/publications/8g84mm27v,Recession and Demand Management: An Illustrative Example,"Bryant\, John B."
zs25x8496,E62,,Thu Nov  7 21:50:37 2019,https://researchdatabasestaging.minneapolisfed.org/concern/publications/zs25x8496,Does Neoclassical Theory Account for the Effects of Big Fiscal Shocks? Evidence From World War II,"McGrattan\, Ellen R.,Ohanian\, Lee E."
